category,meeting_count,avg_sentiment,avg_action_items,avg_duration
Competitive Intelligence,33,3.0272727272727273,3.9696969696969697,34.10606060606061
Support / Incidents,67,3.607462686567164,3.970149253731343,28.438805970149254
